date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-10-14,38418385,0,0,0,,0,0,386970,0,0,0,,0,0
2020-10-15,38760160,0,0,0,,0,0,348111,0,0,0,,0,0
2020-10-16,39199544,0,0,0,,0,0,422470,0,0,0,,0,0
2020-10-17,39605331,0,0,0,,0,0,390460,0,0,0,,0,0
2020-10-18,39941690,0,0,0,,0,0,339082,0,0,0,,0,0
2020-10-19,40317504,0,0,0,,0,0,400176,0,0,0,,0,0
2020-10-20,40675340,0,0,0,,0,0,329553,0,0,0,,0,0
2020-10-21,41085707,0,0,0,,0,0,410376,0,0,0,,0,0
2020-10-22,41538423,0,0,0,,0,0,462505,0,0,0,,0,0
2020-10-23,42055152,0,0,0,,0,0,498213,0,0,0,,0,0
2020-10-24,42533835,0,0,0,,0,0,472830,0,0,0,,0,0
2020-10-25,42970832,0,0,0,,0,0,436758,0,0,0,,0,0
2020-10-26,43380982,0,0,0,,0,0,438595,0,0,0,,0,0
2020-10-27,43830295,0,0,0,,0,0,422051,0,0,0,,0,0
2020-10-28,44294846,0,0,0,,0,0,470885,0,0,0,,0,0
2020-10-29,44835186,0,0,0,,0,0,549147,0,0,0,,0,0
2020-10-30,45413967,0,0,0,,0,0,567565,0,0,0,,0,0
2020-10-31,45956236,0,0,0,,0,0,525032,0,0,0,,0,0
2020-11-01,46431885,0,0,0,,0,0,486272,0,0,0,,0,0
2020-11-02,46867507,0,0,0,,0,0,478801,0,0,0,,0,0
2020-11-03,47319352,0,0,0,,0,0,422446,0,0,0,,0,0
2020-11-04,47920680,0,0,0,,0,0,584732,0,0,0,,0,0
2020-11-05,48523195,0,0,0,,0,0,611892,0,0,0,,0,0
2020-11-06,49122564,0,0,0,,0,0,626553,0,0,0,,0,0
2020-11-07,49748179,0,0,0,,0,0,610783,0,0,0,,0,0
2020-11-08,50229058,0,0,0,,0,0,481889,0,0,0,,0,0
2020-11-09,50795103,0,0,0,,0,0,608588,0,0,0,,0,0
2020-11-10,51189307,0,0,0,,0,0,376451,0,0,0,,0,0
2020-11-11,51728002,0,0,0,,0,0,544275,0,0,0,,0,0
2020-11-12,52519873,0,0,0,,0,0,803965,0,0,0,,0,0
2020-11-13,53146429,0,0,0,,0,0,642513,0,0,0,,0,0
2020-11-14,53745632,0,0,0,,0,0,579487,0,0,0,,0,0
2020-11-15,54304906,0,0,0,,0,0,557220,0,0,0,,0,0
2020-11-16,54821106,0,0,0,,0,0,559379,0,0,0,,0,0
2020-11-17,55421439,0,0,0,,0,0,569383,0,0,0,,0,0
2020-11-18,56016927,0,0,0,,0,0,611466,0,0,0,,0,0
2020-11-19,56654985,0,0,0,,0,0,655883,0,0,0,,0,0
2020-11-20,57343796,0,0,0,,0,0,677546,0,0,0,,0,0
2020-11-21,57985912,0,0,0,,0,0,610941,0,0,0,,0,0
2020-11-22,58546604,0,0,0,,0,0,536535,0,0,0,,0,0
2020-11-23,59038363,0,0,0,,0,0,541023,0,0,0,,0,0
2020-11-24,59611800,0,0,0,,0,0,550884,0,0,0,,0,0
2020-11-25,60188972,0,0,0,,0,0,580242,0,0,0,,0,0
2020-11-26,60807442,0,0,0,,0,0,543578,0,0,0,,0,0
2020-11-27,61403665,0,0,0,,0,0,642300,0,0,0,,0,0
2020-11-28,62054982,0,0,0,,0,0,589112,0,0,0,,0,0
2020-11-29,62633939,0,0,0,,0,0,569390,0,0,0,,0,0
2020-11-30,63113404,0,0,0,,0,0,509334,0,0,0,,0,0
2020-12-01,63654104,0,0,0,,0,0,541312,0,0,0,,0,0
2020-12-02,64299731,0,0,0,,0,0,660434,0,0,0,,0,0
2020-12-03,64946171,0,0,0,,0,0,659565,0,0,0,,0,0
2020-12-04,65662957,0,0,0,,0,0,725849,0,0,0,,0,0
2020-12-05,66342289,0,0,0,,0,0,650783,0,0,0,,0,0
2020-12-06,66962525,0,0,0,,0,0,588761,0,0,0,,0,0
2020-12-07,67480714,0,0,0,,0,0,546431,0,0,0,,0,0
2020-12-08,68053620,0,0,0,,0,0,561210,0,0,0,,0,0
2020-12-09,68689714,0,0,0,,0,0,645127,0,0,0,,0,0
2020-12-10,69377104,0,0,0,,0,0,671949,0,0,0,,0,0
2020-12-11,70064896,0,0,0,,0,0,710653,0,0,0,,0,0
2020-12-12,71541945,0,0,0,,0,0,1441282,0,0,0,,0,0
2020-12-13,72192624,0,0,0,,0,0,605627,0,0,0,,0,0
2020-12-14,72725477,0,0,0,,0,0,550652,0,0,0,,0,0
2020-12-15,73307202,0,0,0,,0,0,563415,0,0,0,,0,0
2020-12-16,73938792,0,0,0,,0,0,677629,0,0,0,,0,0
2020-12-17,74677952,0,0,0,,0,0,721303,0,0,0,,0,0
2020-12-18,75420933,0,0,0,,0,0,751523,0,0,0,,0,0
2020-12-19,76120979,0,0,0,,0,0,627878,0,0,0,,0,0
2020-12-20,76719219,0,0,0,,0,0,603863,0,0,0,,0,0
2020-12-21,77253776,0,0,0,,0,0,556670,0,0,0,,0,0
2020-12-22,77834699,0,0,0,,0,0,568707,0,0,0,,0,0
2020-12-23,78485114,0,0,0,,0,0,671845,0,0,0,,0,0
2020-12-24,79172013,0,0,0,,0,0,647405,0,0,0,,0,0
2020-12-25,79838097,0,0,0,,0,0,559981,0,0,0,,0,0
2020-12-26,80271940,0,0,0,,0,0,506574,0,0,0,,0,0
2020-12-27,80774016,0,0,0,,0,0,417102,0,0,0,,0,0
2020-12-28,81199065,0,0,0,,0,0,482312,0,0,0,,0,0
2020-12-29,81785133,0,0,0,,0,0,556823,0,0,0,,0,0
2020-12-30,82445356,0,0,0,,0,0,698693,0,0,0,,0,0
2020-12-31,83203405,0,0,0,,0,0,747175,0,0,0,,0,0
2021-01-01,83909362,0,0,0,,0,0,643338,0,0,0,,0,0
2021-01-02,84430161,0,0,0,,0,0,596937,0,0,0,,0,0
2021-01-03,85081806,0,0,0,,0,0,574230,0,0,0,,0,0
2021-01-04,85557631,0,0,0,,0,0,472766,0,0,0,,0,0
2021-01-05,86227502,0,0,0,,0,0,642823,0,0,0,,0,0
2021-01-06,86956592,0,0,0,,0,0,757151,0,0,0,,0,0
2021-01-07,87760245,0,0,0,,0,0,815176,0,0,0,,0,0
2021-01-08,88603680,0,0,0,,0,0,845151,0,0,0,,0,0
2021-01-09,89448943,0,0,0,,0,0,769925,0,0,0,,0,0
2021-01-10,90168221,0,0,0,,0,0,715151,0,0,0,,0,0
2021-01-11,90747008,0,0,0,,0,0,601530,0,0,0,,0,0
2021-01-12,91409157,0,0,0,,0,0,621616,0,0,0,,0,0
2021-01-13,92122241,0,0,0,,0,0,724518,0,0,0,,0,0
2021-01-14,92875916,0,0,0,,0,0,736012,0,0,0,,0,0
2021-01-15,93642246,0,0,0,,0,0,782345,0,0,0,,0,0
2021-01-16,94395002,0,0,0,,0,0,701504,0,0,0,,0,0
2021-01-17,95011364,0,0,0,,0,0,627505,0,0,0,,0,0
2021-01-18,95535397,0,0,0,,0,0,530245,0,0,0,,0,0
2021-01-19,96082128,0,0,0,,0,0,523443,0,0,0,,0,0
2021-01-20,96710953,0,0,0,,0,0,633786,0,0,0,,0,0
2021-01-21,97398811,0,0,0,,0,0,692482,0,0,0,,0,0
2021-01-22,98171071,0,0,0,,0,0,663302,0,0,0,,0,0
2021-01-23,98803867,0,0,0,,0,0,611753,0,0,0,,0,0
2021-01-24,99365919,0,0,0,,0,0,563372,0,0,0,,0,0
2021-01-25,99806048,0,0,0,,0,0,499922,0,0,0,,0,0
2021-01-26,100334985,0,0,0,,0,0,462590,0,0,0,,0,0
2021-01-27,100919727,0,0,0,,0,0,586844,0,0,0,,0,0
2021-01-28,101495481,0,0,0,,0,0,583349,0,0,0,,0,0
2021-01-29,102087814,0,0,0,,0,0,605513,0,0,0,,0,0
2021-01-30,102696213,0,0,0,,0,0,575545,0,0,0,,0,0
2021-01-31,103191627,0,0,0,,0,0,497801,0,0,0,,0,0
2021-02-01,103557529,0,0,0,,0,0,417985,0,0,0,,0,0
2021-02-02,103980750,0,0,0,,0,0,397394,0,0,0,,0,0
2021-02-03,104450112,0,0,0,,0,0,466849,0,0,0,,0,0
2021-02-04,104971769,0,0,0,,0,0,520174,0,0,0,,0,0
2021-02-05,105469892,0,0,0,,0,0,500815,0,0,0,,0,0
2021-02-06,105941623,0,0,0,,0,0,444280,0,0,0,,0,0
2021-02-07,106332262,0,0,0,,0,0,396583,0,0,0,,0,0
2021-02-08,106708474,0,0,0,,0,0,400041,0,0,0,,0,0
2021-02-09,107016326,0,0,0,,0,0,316302,0,0,0,,0,0
2021-02-10,107455677,0,0,0,,0,0,436840,0,0,0,,0,0
